# QA 修复计划 — 由 qa-scan v2 生成
# 生成时间: 2026-05-13T04:08:30.002Z
# 总文章数: 412

P0 | RE-GENERATE | 679f01e5-de17-4b84-b394-53e6615057e2 | env-electric-vehicles | en | G6 | content为空
P0 | RE-GENERATE | 447045cc-b93f-493c-87d1-2484e7b3b320 | dogo-african_elephants_may_be_using_farm_crops_as_medicine | en | G3 | content为空
P0 | RE-GENERATE | edec3d18-f47b-465b-bba0-6be4e905d70b | digital-coding-introduction | en | G6 | content为空
P0 | RE-GENERATE | 427e7c7e-1697-4485-8866-9522832430e1 | news-evergreen-climate-action | en | G6 | content为空
P0 | RE-GENERATE | dedeb029-1b21-45ce-bf09-631b20bfae37 | econ-inflation-explained | en | G6 | content为空
P0 | RE-GENERATE | 47ae1774-f3ec-4e7a-990c-66ce19afe764 | econ-money-history | en | G6 | content为空
P0 | RE-GENERATE | 02cec7a5-9112-45eb-b230-0683341a9090 | culture-mexican-day-of-dead | en | G6 | content为空
P0 | RE-GENERATE | a4c72003-c182-48d9-9346-51d570ae6645 | lit-little-prince | en | G6 | content为空
P0 | RE-GENERATE | a66c6512-df5d-4a07-a135-10326c3f117e | lit-harry-potter-themes | en | G6 | content为空
P0 | RE-GENERATE | 54553043-8825-4f6b-944f-957ba38b21c2 | world-history-mesopotamia-cuneiform | en | G6 | content为空
P0 | RE-GENERATE | 23d624a6-56d6-48eb-823d-33fb2c1dd1b4 | climate-change-extreme-weather | en | G3 | content为空
P0 | RE-GENERATE | 59681be6-883e-492e-acd6-5d646157e83b | brazil-carnival | en | G3 | content为空
P0 | RE-GENERATE | c1fe9e14-93e0-4531-b2de-aa439458130a | chinese-spring-festival | en | G3 | content为空
P0 | RE-GENERATE | 9d104e63-b263-44da-9ba5-9cef9c14e039 | thanksgiving-origins | en | G6 | content为空
P0 | RE-GENERATE | f40077b4-563d-4b43-af93-2a7937b39e41 | ludwig-van-beethoven | en | G3 | content为空
P0 | RE-GENERATE | 347f1fb6-a661-486b-bf88-2ce3ec7a6883 | ludwig-van-beethoven | en | G6 | content为空
P0 | RE-GENERATE | cd35955e-56bc-486f-9945-237a47ade09e | stephen-hawking | en | G3 | content为空
P0 | RE-GENERATE | 955a4d86-05f5-4667-8449-442ebc3f9676 | malala | en | G3 | content为空
P0 | RE-GENERATE | 2c152da5-0ec3-48ee-a39d-175c97e8984a | volcanoes-islands | en | G3 | content为空
P0 | RE-GENERATE | 6cca5341-3a49-439a-a3ec-1a2cdbf93f1f | martin-luther-king | en | G3 | content为空
P0 | RE-GENERATE | 6a20701c-cc73-4dad-9fdc-8ade9ca6e4e1 | ocean-plastic-pollution | en | G6 | content为空
P0 | RE-GENERATE | 264b6fa9-19cb-46f0-bd30-8607fa7dca2a | ocean-plastic-pollution | en | G3 | content为空
P0 | RE-GENERATE | 33607949-dc5b-4754-ae00-2f273d000f34 | zheng-he | en | G6 | content为空
P0 | RE-GENERATE | 6d27dc25-0b98-40e2-a586-004ee887eb67 | printing-press | en | G6 | content为空
P0 | RE-GENERATE | c5a6e204-0cae-43f4-ab7c-a6893aa04c96 | roman-empire | en | G6 | content为空
P0 | RE-GENERATE | 62d6aab9-c1e1-4d68-b706-14c737982687 | printing-press | en | G3 | content为空
P0 | RE-GENERATE | 959fe296-d856-4b3b-b14f-c7b057772201 | black-holes | en | G6 | content为空
P0 | RE-GENERATE | 1965f594-deb6-4a61-8c0f-9e8d997ac894 | black-holes | en | G3 | content为空
P0 | RE-GENERATE | e43b3a8b-1b87-464e-a715-221f19282745 | earthquakes-tectonics | en | G6 | content为空
P0 | RE-GENERATE | efbb826e-bbb4-4dd7-98a9-d331b212e83a | immune-system | en | G6 | content为空
P0 | RE-GENERATE | 934750dc-7bf6-4247-90a3-88ffee093e39 | endangered-species-protection | en | G3 | content为空
P0 | RE-GENERATE | ce14b936-f2ff-4f85-9c79-5c5f505078f9 | mars-exploration | en | G3 | content为空
P0 | RE-GENERATE | fb407fca-ec66-4fad-918b-84e2e4e4a3e2 | renewable-energy-growth | en | G3 | content为空
P0 | RE-GENERATE | 222d6601-6220-4484-9e74-01ae2021d86c | artificial-intelligence-daily-life | en | G6 | content为空
P0 | RE-GENERATE | caf02466-ebeb-4700-b687-c0d43d62cc38 | rainforest-conservation | en | G6 | content为空
P0 | RE-GENERATE | 84b92647-d3f9-4165-8356-82bc7f320e5e | olympic-games-spirit | en | G3 | content为空
P0 | RE-GENERATE | 6b481ab5-593e-44f7-8d3b-6e407036b178 | thanksgiving-traditions | en | G6 | content为空
P0 | RE-GENERATE | e1623a15-1ed7-4a04-b9e7-5cfa8aae6faa | japanese-tea-ceremony | en | G6 | content为空
P0 | RE-GENERATE | 5f9ece9d-b1cd-4bcf-a361-5f9ca7aa4017 | coral-reef-ecosystems | en | G6 | content为空
P0 | RE-GENERATE | 1e446cbb-bfdf-4f96-a798-c41a78b8dc5f | desert-adaptations | en | G3 | content为空
P0 | RE-GENERATE | 2ee717c7-45db-46e9-b1cf-7a9550932194 | nelson-mandela | en | G6 | content为空
P0 | RE-GENERATE | 52ed10d6-550b-4b40-86b4-cc3dc421a339 | rosa-parks | en | G3 | content为空
P0 | RE-GENERATE | d3a99be6-37f3-42da-a68d-9a7a41bb45ce | marie-curie | en | G6 | content为空
P0 | RE-GENERATE | 4c63621e-9569-4621-b14d-ff7a1baf5bf2 | genetics-and-dna | en | G6 | content为空
P0 | RE-GENERATE | 66fe18d2-cdb7-4b6a-b611-8c3f719b1e18 | animal-adaptations | en | G6 | content为空
P0 | RE-GENERATE | 2b980bd5-330e-4b0a-b51d-97e9dcf54c69 | weather-and-climate | en | G6 | content为空
P0 | RE-GENERATE | 97fb188e-a618-4321-8bda-5ecf8d49dd55 | human-body-systems | en | G3 | content为空
P0 | RE-GENERATE | 04f849be-cb7f-42a2-b8fd-24f19950e8b2 | renaissance-art-science | en | G6 | content为空
P0 | RE-GENERATE | c4bd99c3-a5c2-438d-a59a-ef66e55fdffb | industrial-revolution | en | G3 | content为空
P0 | RE-GENERATE | 835c29c0-faca-4d7d-9eb5-068cbf40231a | silk-road-trade | en | G3 | content为空
P0 | RE-GENERATE | 7d56abd2-b74d-4219-9062-2315db364d9b | renewable-energy-boom | en | G6 | content为空
P0 | RE-GENERATE | 4eb16980-a172-4b27-8106-20822e48a724 | ai-transforming-school | en | G3 | content为空
P0 | RE-GENERATE | d5191962-109b-4305-b40b-ab0de7db1541 | moon-return-missions | en | G6 | content为空
P1 | REGENERATE-META | d652c09c-a96e-42c4-a3f1-430126afd218 | zh-history-yu-the-great-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 60f95f5b-e608-4e8d-8f8b-ba96a173c7bd | 为什么天空是蓝色的-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 2254dce0-0806-4dc8-bb2a-9bb1107c53be | 为什么天空是蓝色的-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | d296de01-a178-427f-aff2-5606c3ed1e8f | 月球是怎么形成的-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | d25a29ca-9065-435c-b37f-5a9d73a88fa1 | 地震是怎么发生的-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | ae9c283b-cdb4-409a-93b2-6c65cf64095d | 地震是怎么发生的-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 74ea95ef-6928-4f89-ae14-2cf886c739d7 | 桃园三结义-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 6b3b8c9c-9178-4a75-a187-e5fd6975311b | 张骞出使西域-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | c086c882-47a0-4ce3-a250-4878abb44306 | 秦始皇统一中国-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | 4d4bdc5e-35f4-4a6d-b4f9-ea9552d70a47 | 秦始皇统一中国-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | de909198-d22a-4e55-b33f-e62534d9b35c | 孔子的故事-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 7bd05ddf-242f-4d72-80dd-d22577ebea1f | 大禹治水-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | e3edcc77-d3c9-448e-a080-91ead5ed9936 | 蚂蚁和蟋蟀-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 7ebd7434-447d-463c-9a1c-142af365d3a9 | 蚂蚁和蟋蟀-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | fee4a36d-506c-4986-9852-73477072d0aa | 龟兔赛跑-G3 | zh | G3 | genre-missing
P1 | REGENERATE-META | 94ac6e9b-28bb-4ece-b5be-7427a4248cf8 | 盲人摸象-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 9b0687d5-b92f-452f-b285-3006dfb2a766 | 盲人摸象-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 9b7df606-b873-4a96-9f14-b053e13837f2 | 乌鸦喝水-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 65c1492c-811f-438d-9a07-d9107e9266a3 | 乌鸦喝水-G3 | zh | G3 | genre-missing
P1 | REGENERATE-META | 597acc9b-38d1-4c34-8b43-1c887a16f70c | 井底之蛙-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 40933d04-421a-4686-86d8-f22ce3c17790 | 井底之蛙-G3 | zh | G3 | genre-missing
P1 | REGENERATE-META | a8efe077-6e2d-41a8-8047-d369b46e4fad | 画蛇添足-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 3e4cf4c9-5e2a-46af-828e-be020333ec45 | 画蛇添足-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | ee6e306f-71ab-435e-9491-698a61fe2dfc | 亡羊补牢-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 5a8be60d-7063-4aa4-ad58-4ffd44afeed7 | 亡羊补牢-G3 | zh | G3 | genre-missing
P1 | REGENERATE-META | f8c606c3-6bdf-4b30-905e-8ac854e9de76 | 守株待兔-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 1b36fed7-4969-49b8-95e8-b6d9d8dcb027 | 守株待兔-G3 | zh | G3 | genre-missing
P1 | REGENERATE-META | 531e59cf-3038-4a74-9076-40e4189e0741 | culture-chinese-tea-ceremony-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 5bba0f86-bb04-45b3-814f-aa09b984bc22 | culture-chinese-tea-ceremony-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 9190a999-2fd3-4391-a95b-31d512a353b7 | culture-chinese-tea-ceremony-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | c0bf392f-9051-4c36-9343-1ed6bf44214f | culture-spring-festival-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 5e4e1dd2-1c84-412e-a739-12c1bb4f9408 | culture-spring-festival-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 8a161a9b-56fe-4817-871b-2b4f342a4149 | culture-spring-festival-G3 | zh | G3 | genre-missing
P1 | REGENERATE-META | 26f298df-ea6c-44cc-8623-6365c8e48679 | nature-china-jiuzhaigou-G6 | zh | G6 | question-correct-not-in-options
P1 | REGENERATE-META | 8d27e742-4b11-409e-9c3f-1987b9b9ef3d | nature-china-jiuzhaigou-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | edc4ac25-5ea8-4ffa-92f2-ee38d87849c5 | nature-china-jiuzhaigou-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | cafbf56c-5657-4e0e-a2b3-99b5d5725d8f | nature-china-yellow-mountains-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 0260e6df-6ffb-4dd8-a4df-080f2267a551 | nature-china-yellow-mountains-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 3a08d782-9900-4605-8d04-9e00dcdb5228 | nature-china-yellow-mountains-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | ddeb952f-9ca4-4402-893a-1cedfaef73ee | env-china-environmental-action-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | cf4e7403-d894-4c6e-839e-cd0690c75f23 | env-china-environmental-action-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 3a81944d-7b20-449a-8615-1d98abb43c2c | env-china-environmental-action-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | d7695c87-0fb1-4bd8-aaa0-1b9bf13c4eb9 | sports-tai-chi-martial-arts-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | c07e4607-3e58-494c-ba0d-29718bce5a5b | sports-tai-chi-martial-arts-G4 | zh | G4 | question-correct-not-in-options
P1 | REGENERATE-META | f92e95e4-cef9-41ec-ad1e-40a1cc600e45 | sports-china-olympics-2008-2022-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 376531f5-c90a-42b0-a6e7-ee9398ff2461 | sports-china-olympics-2008-2022-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 0c2ba14d-f369-4823-8065-3f9491bac972 | space-china-space-program-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | bf0d7b00-fd85-400a-9ee1-35efac2419a0 | space-china-space-program-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | b0a5eaa3-4a8e-46bc-a8cb-3582d05dc5be | bio-zhang-qian-explorer-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | c41506b0-2a6b-4047-b550-96291978fcdb | bio-zhang-qian-explorer-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 40df353c-01ce-4765-b0a2-0f57e68cdcf1 | bio-zhang-qian-explorer-G4 | zh | G4 | genre-missing
P1 | ADJUST-SIZE | bb393045-9001-43f9-86d4-a9989643d05e | bio-qian-xuesen-G7 | zh | G7 | word-count-out-of-range
P1 | REGENERATE-META | 7551e4f7-15b4-425e-90e3-a31fd3b7e993 | bio-qian-xuesen-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 068e270e-a484-4edf-82d3-571bdfbb03c0 | bio-tu-youyou-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | de20369b-e06c-4759-8457-d110a3916b08 | bio-tu-youyou-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | be92d81a-4bbc-4d6c-9742-e62614d025e0 | story-niulang-zhinv-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 259fd0b8-481d-4c42-8def-7c71284d7106 | story-changedrun-to-moon-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | e152be15-373a-4a21-b640-ecd37264110f | story-changedrun-to-moon-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | d43b0bfb-6789-4979-b030-c9a71c77f626 | story-yangbulao-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 95d95b73-6e14-4afe-aa01-b4ba06daf10a | story-yangbulao-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | b7eae7ad-6704-44f3-92b1-7b80382c87fa | story-yangbulao-G3 | zh | G3 | genre-missing
P1 | REGENERATE-META | 63610649-fd06-41dd-8448-6c7dca2d98c7 | story-shouzhudaitu-G3 | zh | G3 | genre-missing
P1 | REGENERATE-META | d76dcec8-6ea3-4909-8e5d-c83bae808501 | art-dunhuang-murals-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 10fab53b-624a-4602-b9e6-808be5d6d714 | art-dunhuang-murals-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 5e3cecd7-0c72-4395-84cf-79065ec9f9cc | art-chinese-ink-painting-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 7fbf6d16-7dba-4138-a884-ceba284a92b6 | art-chinese-ink-painting-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | bd409370-5776-4ed3-aae4-11ba8fd0a765 | culture-beijing-opera-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | c060674a-cee8-46f7-9cc7-e46d885ccb5b | culture-beijing-opera-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 69371de8-375a-4d13-ac06-7370ec0d54eb | culture-beijing-opera-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 411cd769-e065-4a7c-857e-67c9da74df40 | culture-mid-autumn-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 9e9dce47-75d6-47a5-872c-a82e1afd4cd3 | culture-mid-autumn-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | ac51c529-c090-42bd-bfcf-957c39708f03 | culture-mid-autumn-G3 | zh | G3 | genre-missing
P1 | REGENERATE-META | 930a49ef-0c58-4f45-9613-431ddbef3dc2 | poetry-shijing-guanju-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 2cddf74a-a705-4bf1-ae07-b9c829643cd4 | poetry-su-shi-shuidiao-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | bd020cc2-3edc-483f-952c-7eceac9d31aa | poetry-su-shi-shuidiao-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | b386f7dd-3f56-4e8d-ba0e-bd4ffcfc1327 | poetry-su-shi-shuidiao-G5 | zh | G5 | question-correct-not-in-options
P1 | ADJUST-SIZE | 91c27ab4-064a-4e39-bf0c-e913528ff3ed | poetry-wang-zhihuan-denguanqulou-G6 | zh | G6 | word-count-out-of-range
P1 | REGENERATE-META | af7def51-2c71-4316-8595-0bab0dc9a52e | poetry-wang-zhihuan-denguanqulou-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | ad586533-a535-460e-a369-ed8bd2ef3abd | poetry-wang-zhihuan-denguanqulou-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 20f22368-a1f8-496a-a620-f5a81bc9021f | poetry-meng-haoran-chunxiao-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 7a918ff6-05f0-472f-b3f6-ce282449c348 | poetry-meng-haoran-chunxiao-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | c49d5a6d-8b26-4dad-add4-2a03cf4bf7a8 | poetry-li-bai-jingyesi-G4 | zh | G4 | question-correct-not-in-options
P1 | REGENERATE-META | 6135c22a-ec9a-4dd5-ad28-f17a6552afed | poetry-li-bai-jingyesi-G3 | zh | G3 | genre-missing
P1 | REGENERATE-META | 419d9522-01e0-4f1d-9598-d8136609b183 | lit-luxun-hometown-G8 | zh | G8 | genre-missing
P1 | REGENERATE-META | 15bf23a2-6e1b-4599-8851-0a185575a39c | lit-luxun-hometown-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | 0d1049c2-6a86-4be3-a07e-49520a4fbde6 | lit-luxun-hometown-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | c446c0f2-a23d-43fa-9c4f-152d2952c470 | lit-three-kingdoms-zhuge-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | ffb700bf-67bc-41ae-9d51-144ba7c8a4a0 | lit-xiyou-monkey-king-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | afad8adb-14e5-4bac-8a29-77253003aada | zh-history-new-china-founding-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | c26c5ab7-3e26-4205-b372-e8e1e2fa2ca1 | zh-history-new-china-founding-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 65941a40-78c6-4159-88ef-52174683ffa1 | zh-history-anti-japanese-war-G8 | zh | G8 | genre-missing
P1 | REGENERATE-META | 236d6516-393e-4d78-9a57-fd69ebeb5284 | zh-history-anti-japanese-war-G7 | zh | G7 | genre-missing
P1 | ADJUST-SIZE | fe73180d-3957-41b1-a570-b367a45581ed | zh-history-reform-and-opening-G8 | zh | G8 | word-count-out-of-range
P1 | REGENERATE-META | 8c935ff8-0789-4b29-a65d-adbec8467f39 | zh-history-reform-and-opening-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 2999d6ae-8adc-46ac-9eba-e77e6eb2c343 | zh-history-1911-revolution-G8 | zh | G8 | genre-missing
P1 | REGENERATE-META | fedaeb13-8e06-454c-92ad-b75f4f14eb19 | zh-history-1911-revolution-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | d3463101-9e68-4289-947a-b513d8f74ec9 | zh-history-1911-revolution-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | c99d700e-8fe2-422c-bd43-a00443446d8c | zh-history-opium-war-G8 | zh | G8 | genre-missing
P1 | REGENERATE-META | 821d4a63-3776-4765-abae-d7269a32649d | zh-history-opium-war-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | a49beafb-bed1-4635-8d06-7bf3eef0108f | zh-history-forbidden-city-construction-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 6b8ee080-94f8-49a9-a90d-8f3e59650379 | zh-history-zheng-he-voyages-G8 | zh | G8 | genre-missing
P1 | REGENERATE-META | 8117bcdc-1281-41a9-9cf8-30fa97ace752 | zh-history-zheng-he-voyages-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | ece01947-21ca-400e-8d3c-0a006a9c5473 | zh-history-zheng-he-voyages-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | e00cc45f-3d64-4e43-a986-c57696a47bdc | zh-history-zheng-he-voyages-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 0d6f80c2-ef50-402a-9045-dba444be74cb | zh-history-xuanzang-pilgrimage-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 34199feb-5e04-4ed3-b440-1d9e72939ece | zh-history-xuanzang-pilgrimage-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 169e7be8-0288-4961-8e4c-f48766ab4613 | zh-history-three-visits-thatched-cottage-G7 | zh | G7 | question-correct-not-in-options
P1 | REGENERATE-META | 988c29f3-9bc1-4f75-93c4-afb80705839c | zh-history-three-visits-thatched-cottage-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 55480e2b-aa19-4881-98b7-f2055ab0d46c | zh-history-silk-road-zhang-qian-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | 7aad6c15-978e-4f3c-be66-d2e0ebeb7e73 | zh-history-silk-road-zhang-qian-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 15adc3ff-f662-4623-8039-ec63fb68630a | zh-history-silk-road-zhang-qian-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 525a3a39-8549-4bb9-90b3-421ab29b449b | zh-history-silk-road-zhang-qian-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 17c6a0ec-3fe0-4e88-878d-755f55717592 | zh-history-qin-unification-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | 7a73d999-3f85-4bbe-94af-b31d846ae4c3 | zh-history-qin-unification-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 5eafb260-b554-4427-bc61-bc1f80256fe3 | zh-history-qin-unification-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | e572a85b-66cf-4357-bb55-7ea4ab68b794 | 恐龙的灭绝-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 9a3ed926-3dac-410c-9ec0-64fd10fba63e | 太阳系有哪些行星-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | e1749e55-29fb-4f69-8f1b-0207f64e0242 | 太阳系有哪些行星-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 5962cafc-6197-4943-81bb-46224f2b5d1b | 我的梦想-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 94423c9a-3042-4811-a400-9037ea83518f | 我最难忘的一天-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 6a758e8b-f712-48bf-8a55-a0061b24bc40 | 我最难忘的一天-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | f76e3106-ffb3-4dae-bc68-8d497ccb5689 | 和家人一起做饭-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | a02a435a-7b80-4420-8272-a61018557216 | 和家人一起做饭-G3 | zh | G3 | genre-missing
P1 | REGENERATE-META | 4ca2a3c9-9bfc-4c6d-ad17-0846944ab034 | 校园里的那棵树-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 951adf57-44ee-4508-b228-ccbb3010eb96 | 校园里的那棵树-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 0d944ed9-6615-47e9-8a7a-c44b00b065d7 | 第一次参加运动会-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | e09ea2c9-3504-46d0-aeee-ad5dc5759884 | 第一次参加运动会-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 94d976b0-9d37-4aa2-a3a7-cdc18d77e72a | 我的好朋友-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | 7f6e3149-6011-432d-82d9-e556822231a5 | 我的好朋友-G3 | zh | G3 | genre-missing
P1 | REGENERATE-META | 9a3a492d-fd5e-4a32-b861-7e6e4b9d7ef4 | 郑和下西洋-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | 09fe3159-cefc-4bd5-809e-67354978d007 | 岳飞精忠报国-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | afbbbbca-19cb-4a4d-aece-be23e75dba9c | 岳飞精忠报国-G6 | zh | G6 | genre-missing
P1 | REGENERATE-META | 39ced11a-db48-457e-a52c-a8ff0bfe1a1a | 草船借箭-G7 | zh | G7 | genre-missing
P1 | REGENERATE-META | ebfd05aa-993d-47e4-92e2-4e36dbec5cc1 | 草船借箭-G5 | zh | G5 | genre-missing
P1 | REGENERATE-META | 1e6214e6-f44e-44f1-8c0c-aa1dda04650a | 狼来了-G4 | zh | G4 | genre-missing
P1 | REGENERATE-META | ad66a416-2878-4734-82f7-7359877e768c | 狼来了-G3 | zh | G3 | genre-missing
